Engine size in CC,Number of female owners,Type of fuel,Number of male owners,Manufacturer,Model,Price,Power (BHP) of the car,Total number of owners,Car Transmission,Gender unclassified
1497.169492,422731,petrol,814172,Ford,Focus,30.61932203,94.033898,1293390,5.966101695,56487
1166.142857,631666,petrol,554879,Ford,Fiesta,18.53214286,68.57142857,1240602,5.714286,54057
1537.406593,310604,petrol,483216,Volkswagen,Golf,31.24215385,89.461538,841383,6.164835165,47563
1219.6538460000002,312556,petrol,241287,Renault,Clio,22.1,75.57692308,581847,5.615384615,28004
1995.7777780000001,115843,petrol,408016,BMW,320i,47.84837037,126.1111111,552984,6.444444444,29125
1408.055556,299110,petrol,216333,Volkswagen,Polo,18.1925,60.96296296,547144,5.074074073999999,31701
1631.5,250614,petrol,178698,Peugeot,206,20.03375,71.33333333,455447,4.833333333,26135
1998.5,69603,petrol,357452,Ford,Mondeo,39.97375,130.25,443605,1.75,16550
1279.6956519999999,253000,petrol,143218,Nissan,Micra,20.3776087,67.95652174,422837,4.869565217,26619
1480.575,132958,petrol,242188,Honda,Civic,29.942625,106.225,396188,4.5,21042
1196.0,269428,petrol,102708,Ford,Ka+,15.46,60.8,392460,5.0,20324
1623.793103,156607,petrol,209379,Renault,Megane,26.449886699999997,87.31034483,387035,5.408866995,21049
1397.8,214944,petrol,137907,Toyota,Yaris,20.7206,74.4,380521,3.52,27670
1596.92,69373,petrol,209476,Mercedes,CLA,46.5274,131.6,296091,7.04,17242
2283.112903,59936,petrol,202037,Audi,A4,57.92693548,149.7096774,275602,6.161290322999999,13629
1835.8461539999998,48599,petrol,211510,Volkswagen,Passat,46.06451282,125.43589740000002,274614,6.487179487000001,14505
1424.666667,97033,petrol,144962,Audi,A3,36.21929825,94.33333333,256455,6.473684211,14460
1723.0,108991,petrol,132728,Peugeot,307,27.46483636,86.45454545,256114,4.872727273,14395
1536.0,138839,petrol,99472,Peugeot,207,21.70216667,79.76666667,251753,4.9,13442
1743.4418600000001,87029,petrol,145377,Citroen,Xsara,22.36209302,72.58139535,243925,4.88372093,11519
1292.352941,87532,petrol,109408,Skoda,Fabia,19.00794118,66.97058824,207716,5.205882353,10776
1796.6,87660,petrol,103719,BMW,118i,37.4265,104.2,203185,6.2,11806
1497.169492,236116,petrol,451361,Ford,Focus,30.619322,94.033898,716546,5.966102,29069
2083.523077,59369,diesel,118279,Land-Rover,Freelander,43.86363077,105.1692308,187569,5.292307692,9921
1364.0,98254,petrol,78551,Citroen,C3,22.90364865,75.64864865,186698,5.405405405,9893
1677.949153,67184,petrol,104996,Toyota,Corolla,27.23911864,91.61016949,184222,3.033898305,12042
2979.0,21302,petrol,138584,BMW,535i,93.71425,225.0,169329,8.0,9443
1873.261538,29728,petrol,123806,Toyota,Avensis,37.31523077,103.6769231,163108,4.323076923,9574
2598.818182,24029,petrol,125070,Mercedes,E,78.07322727,192.4,158564,7.672727273,9465
1472.826087,62467,diesel,85989,Renault,Scenic,32.06304348,89.34782609,156802,5.956521738999999,8346
1205.192982,73895,petrol,74717,Seat,Ibiza,19.93814035,76.31578947,154894,5.649122807,6282
1205.192982,40915,petrol,43838,Seat,Ibiza,19.93814,76.315789,88348,5.649123,3595
2425.428571,29981,diesel,112207,Land-Rover,Discovery,107.4521429,182.5714286,148576,8.0,6388
2521.0924370000002,34079,diesel,107520,Land-Rover,Range,107.6705126,196.3361345,148446,8.277310924,6847
1820.65625,56539,diesel,79290,Nissan,Qashqai+2,34.93603125,97.71875,144659,5.25,8830
1136.692308,25662,petrol,110428,Skoda,Octavia,30.65053846,95.0,142237,6.346153846,6147
1186.333333,102113,diesel,30349,Fiat,500L,26.29166667,74.73333333,140639,5.6,8177
1699.119048,68928,petrol,55510,Mercedes,A,31.104511900000002,93.01190476,134165,4.5476190480000005,9727
1847.6666670000002,44706,petrol,78034,Nissan,Almera,22.78208333,81.66666667,130632,4.916666667,7892
1462.3625,42130,petrol,79604,Citroen,C4,29.26025,90.625,127281,5.95,5547
1462.3625,42130,petrol,79604,Citroen,C5,34.909057,0.12,127281,5.95,5547
1462.3625,42130,petrol,79604,Citroen,C6,2.26025,414.603171,127281,7.95,5547
1498.25,87974,petrol,29548,Mini,One,24.09525,68.75,124949,6.25,7427
