indexOfdf,Id,ColumnName,Original,Modified,ErrorType,Fixing
19100,66746098,Company,nan,non-specified,null values,replacing all null values with non-specified
19109,70801612,Company,nan,non-specified,null values,replacing all null values with non-specified
19118,66537130,Company,nan,non-specified,null values,replacing all null values with non-specified
19119,70433714,Company,nan,non-specified,null values,replacing all null values with non-specified
19121,69548661,Company,nan,non-specified,null values,replacing all null values with non-specified
19124,66745441,Company,nan,non-specified,null values,replacing all null values with non-specified
19126,67446464,Company,nan,non-specified,null values,replacing all null values with non-specified
19130,67444180,Company,nan,non-specified,null values,replacing all null values with non-specified
19141,69548653,Company,nan,non-specified,null values,replacing all null values with non-specified
19142,71596208,Company,nan,non-specified,null values,replacing all null values with non-specified
19143,71081498,Company,nan,non-specified,null values,replacing all null values with non-specified
19161,66536418,Company,nan,non-specified,null values,replacing all null values with non-specified
19166,70598959,Company,nan,non-specified,null values,replacing all null values with non-specified
19169,69959870,Company,nan,non-specified,null values,replacing all null values with non-specified
19178,70204921,Company,nan,non-specified,null values,replacing all null values with non-specified
19179,71764518,Company,nan,non-specified,null values,replacing all null values with non-specified
19181,67447422,Company,nan,non-specified,null values,replacing all null values with non-specified
19184,67775600,Company,nan,non-specified,null values,replacing all null values with non-specified
19188,66750284,Company,nan,non-specified,null values,replacing all null values with non-specified
19196,66540972,Company,nan,non-specified,null values,replacing all null values with non-specified
19200,71792666,Company,nan,non-specified,null values,replacing all null values with non-specified
19203,69944848,Company,nan,non-specified,null values,replacing all null values with non-specified
19210,67447013,Company,nan,non-specified,null values,replacing all null values with non-specified
19212,71338161,Company,nan,non-specified,null values,replacing all null values with non-specified
19213,66749259,Company,nan,non-specified,null values,replacing all null values with non-specified
19230,69146450,Company,nan,non-specified,null values,replacing all null values with non-specified
19234,69145609,Company,nan,non-specified,null values,replacing all null values with non-specified
19246,70187048,Company,nan,non-specified,null values,replacing all null values with non-specified
19257,72378737,Company,nan,non-specified,null values,replacing all null values with non-specified
19259,71302538,Company,nan,non-specified,null values,replacing all null values with non-specified
19266,71314668,Company,nan,non-specified,null values,replacing all null values with non-specified
19271,69142908,Company,nan,non-specified,null values,replacing all null values with non-specified
19279,66540434,Company,nan,non-specified,null values,replacing all null values with non-specified
19285,69759899,Company,nan,non-specified,null values,replacing all null values with non-specified
19292,70591369,Company,nan,non-specified,null values,replacing all null values with non-specified
19300,71314391,Company,nan,non-specified,null values,replacing all null values with non-specified
19306,71081656,Company,nan,non-specified,null values,replacing all null values with non-specified
19314,69551246,Company,nan,non-specified,null values,replacing all null values with non-specified
19317,69084308,Company,nan,non-specified,null values,replacing all null values with non-specified
19319,69950307,Company,nan,non-specified,null values,replacing all null values with non-specified
19320,69955847,Company,nan,non-specified,null values,replacing all null values with non-specified
19328,69550891,Company,nan,non-specified,null values,replacing all null values with non-specified
19329,66536381,Company,nan,non-specified,null values,replacing all null values with non-specified
19331,67447195,Company,nan,non-specified,null values,replacing all null values with non-specified
19334,66536588,Company,nan,non-specified,null values,replacing all null values with non-specified
19355,70593202,Company,nan,non-specified,null values,replacing all null values with non-specified
19362,66747060,Company,nan,non-specified,null values,replacing all null values with non-specified
19365,72148072,Company,nan,non-specified,null values,replacing all null values with non-specified
19371,69766439,Company,nan,non-specified,null values,replacing all null values with non-specified
19376,71765027,Company,nan,non-specified,null values,replacing all null values with non-specified
19377,67107415,Company,nan,non-specified,null values,replacing all null values with non-specified
19384,67255506,Company,nan,non-specified,null values,replacing all null values with non-specified
19392,66746421,Company,nan,non-specified,null values,replacing all null values with non-specified
19404,68448966,Company,nan,non-specified,null values,replacing all null values with non-specified
19410,69761696,Company,nan,non-specified,null values,replacing all null values with non-specified
19412,69552770,Company,nan,non-specified,null values,replacing all null values with non-specified
19414,69060360,Company,nan,non-specified,null values,replacing all null values with non-specified
